Name,Code ,Lattitude ,Longitude
Gambia,GMB,13.443182,-15.310139
Georgia,GEO,41.69363,44.80162
Germany,DEU,51.165691,10.451526
Ghana,GHA,7.946527,-1.023194
Gibraltar,GIB,36.140751,-5.353585
Greece,GRC,39.074207,21.824312
Greenland,GRL,71.70694,-42.604301
Grenada,GRD,12.1165,-61.679001
Guam,GUM,13.444304,144.793732
Guatemala,GTM,15.783471,-90.230759
Guinea,GIN,9.945587,-9.696645
Guinea-Bissau,GNB,11.85262,-15.60631
Guyana,GUY,4.860416,-58.93018
Haiti,HTI,18.971188,-72.285217
Honduras,HND,15.199999,-86.241905
"Hong Kong SAR, China",HKG,-86.241905,114.109497
Hungary,HUN,47.162495,19.503304
Iceland,ISL,64.963051,-19.020836
India,IND,20.593683,78.962883
Indonesia,IDN,-0.789275,113.921326
"Iran, Islamic Rep.",IRN,32.42791,53.688046
Iraq,IRQ,33.22319,43.679291
Ireland,IRL,53.41291,-8.24389
Isle of Man,IMN,54.236107,-4.548056
Israel,ISR,31.046051,34.851612
Italy,ITA,41.871941,12.56738
Jamaica,JAM,18.109581,-77.297508
Japan,JPN,36.204823,138.25293
Jordan,JOR,30.585163,36.238415
Kazakhstan,KAZ,48.019573,66.923683
Kenya,KEN,-0.023559,37.906193
Kiribati,KIR,-3.370417,-168.734039
"Korea, Dem. People’s Rep.",PRK,35.907757,127.766922
"Korea, Rep.",KOR,40.339851,127.510094
Kosovo,XKX,42.66544,21.165319
Kuwait,KWT,29.311661,47.481766
Kyrgyz Republic,KGZ,51.695889,94.569321
Lao PDR,LAO,17.96216,102.611633
Latvia,LVA,56.879635,24.603189
Lebanon,LBN,33.854721,35.862286
Lesotho,LSO,-29.609987,28.233608
Liberia,LBR,6.428055,-9.429499
Libya,LBY,26.3351,17.228331
Liechtenstein,LIE,47.166,9.555373
Lithuania,LTU,55.169437,23.881275
Luxembourg,LUX,49.815273,6.129583
"Macao SAR, China",MAC,22.198746,113.543877
Madagascar,MDG,-18.766947,46.869106
Malawi,MWI,-13.254308,34.301525
Malaysia,MYS,4.210484,101.975769
Maldives,MDV,3.202778,73.22068
Mali,MLI,17.570692,-3.996166
Malta,MLT,35.937496,14.375416
Marshall Islands,MHL,7.131474,171.184479
Mauritania,MRT,21.007891,-10.940835
Mauritius,MUS,-20.348404,57.552151
Mexico,MEX,23.634501,-102.552788
"Micronesia, Fed. Sts.",FSM,8.568974,150.420005
Moldova,MDA,47.411633,28.369884
Monaco,MCO,43.738419,7.424616
Mongolia,MNG,46.862495,103.846657
Montenegro,MNE,42.708679,19.37439
Morocco,MAR,31.791702,-7.09262
Mozambique,MOZ,-18.665695,35.529564
Myanmar,MMR,21.916222,95.955971
Namibia,NAM,-22.95764,18.49041
Nauru,NRU,-0.522778,166.931503
Nepal,NPL,28.394857,84.124008
Netherlands,NLD,52.132633,5.291266
New Caledonia,NCL,-21.386334,165.394523
New Zealand,NZL,-42.178874,172.775702
Nicaragua,NIC,12.865416,-85.20723
Niger,NER,17.607788,8.081666
Nigeria,NGA,9.081999,8.675277
North Macedonia,MKD,27.602079,-81.529083
Northern Mariana Isands,MNP,15.18883,145.7535
Norway,NOR,60.472023,8.468946
Oman,OMN,21.473534,55.975414
Pakistan,PAK,30.37532,69.345116
Palau,PLW,7.51498,134.58252
Panama,PAN,8.537981,-80.782127
Papua,New,-4.269928,138.080353
Paraguay,PRY,-23.442503,-58.443832
Peru,PER,-9.189967,-75.015152
Philippines,PHL,12.879721,121.774017
Poland,POL,51.919437,19.145136
Portugal,PRT,39.399872,-8.224454
Puerto Rico,PRI,18.220833,-66.590149
Qatar,QAT,25.354826,51.183884
Romania,ROU,45.943161,24.966761
Russian Federation,RUS,61.52401,105.318756
Rwanda,RWA,-1.940278,29.873888
Samoa,WSM,-13.759029,-172.10463
San Marino,SMR,43.94236,12.457777
Saudi Arabia,SAU,23.885942,45.079163
Senegal,SEN,14.497401,-14.452362
Serbia,SRB,44.016521,21.005859
Seychelles,SYC,-4.679574,55.491978
Sierra Leone,SLE,8.460555,-11.779889
Singapore,SGP,1.352083,103.819839
Sudan,SDN,12.862807,30.217636
Suriname,SUR,3.919305,-56.027782
Sweden,SWE,60.128162,18.643501
Switzerland,CHE,46.818188,8.227512
Tajikistan,TJK,38.861034,71.276093
Tanzania,TZA,-6.369028,34.888821
Thailand,THA,15.870032,100.992538
Timor-Leste,TLS,-8.874217,125.727539
Togo,TGO,8.619543,0.824782
Tonga,TON,-21.178986,-175.198242
Trinidad and Tobgo,TTO,10.65782,-61.51671
Tunisia,TUN,33.886917,9.537499
Turkey,TUR,38.963745,35.24332
Turkmenistan,TKM,38.969719,59.556278
Tuvalu,TUV,-7.109535,177.649323
Uganda,UGA,1.373333,32.290276
Ukraine,UKR,48.379433,31.165581
United Arab Emirates,ARE,23.424076,53.847816
United Kingdom,GBR,55.378052,-3.435973
United States,USA,39.381266,-97.922211
Uruguay,URY,-32.522778,-55.765835
Uzbekistan,UZB,41.377491,64.585258
Vanuatu,VUT,-15.376706,166.959152
Venezuela,VEN,6.42375,-66.589729
Vietnam,VNM,14.058324,108.277199
"Yemen, Rep.",YEM,15.36198,44.20195
Zambia,ZMB,-13.133897,27.849333
Zimbabwe,ZWE,-19.015438,29.154858
